Sitio;Especie;PARCELA;INVENTARIO;TRATAMIENTO;Nac;Ndc;Ne;Superficie;Dgac;Dgdc;Dge;Doac;Dodc;Hgac;Hgdc;Hge;Hoac;Hodc;ABac;ABdc;ABe;ABT;Vac;Vdc;Ve;VT;Vmac;Vmdc;Vme;Wac;Wdc;We;Wac_b7_b27;Wdc_b7_b27;We_b7_b27;Wac_b2_n;Wdc_b2_n;We_b2_n;WacT;WdcT;WeT;Nn;Wac_s_7;Wdc_s_7;We_s_7;Wac_b2_7;Wdc_b2_7;We_b2_7
Sanpablo;Pinus pinaster;1;1;E;583;278;306;0,072;27,654;30,165;25,154;34,486;34,486;11,443;11,465;11,422;11,500;11,500;35,036;19,851;15,185;35,036;182,474;103,392;79,082;182,474;0,313;0,372;0,258;5942,513;3391,573;2550,940;570,404;348,386;222,019;1212,641;702,773;509,868;7725,558;4442,731;3282,827;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;1;2;E;278;278;0;0,072;32,759;32,759;0,000;36,557;36,557;12,585;12,585;0,000;13,000;13,000;23,413;23,413;0,000;38,598;132,509;132,509;0,000;211,590;0,477;0,477;0,000;4278,414;4278,414;0,000;447,393;447,393;0,000;849,365;849,365;0,000;5575,172;5575,172;0,000;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;1;3;E;278;278;0;0,072;35,783;35,783;0,000;39,657;39,657;12,940;12,940;0,000;13,114;13,114;27,935;27,935;0,000;43,120;161,995;161,995;0,000;241,077;0,583;0,583;0,000;5240,562;5240,562;0,000;588,233;588,233;0,000;1041,653;1041,653;0,000;6870,447;6870,447;0,000;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;2;1;D;563;408;155;0,071;25,789;27,420;20,888;32,371;32,371;10,781;10,985;10,243;11,386;11,386;29,429;24,120;5,309;29,429;146,977;121,956;25,021;146,977;0,261;0,299;0,161;4747,194;3944,145;803,049;439,923;378,686;61,236;984,011;818,726;165,285;6171,128;5141,557;1029,571;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;2;2;D;408;408;0;0,071;29,449;29,449;0,000;34,429;34,429;11,603;11,603;0,000;12,357;12,357;27,821;27,821;0,000;33,131;147,545;147,545;0,000;172,566;0,362;0,362;0,000;4739,347;4739,347;0,000;470,901;470,901;0,000;964,881;964,881;0,000;6175,129;6175,129;0,000;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;2;3;D;408;408;0;0,071;31,574;31,574;0,000;36,757;36,757;12,148;12,148;0,000;12,743;12,743;31,981;31,981;0,000;37,290;176,221;176,221;0,000;201,242;0,432;0,432;0,000;5638,145;5638,145;0,000;585,165;585,165;0,000;1133,765;1133,765;0,000;7357,074;7357,074;0,000;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;3;1;A;639;625;14;0,072;25,934;25,957;24,900;30,900;30,900;11,019;11,020;10,983;11,676;11,676;33,750;33,073;0,676;33,750;170,210;166,836;3,374;170,210;0,266;0,267;0,241;5552,147;5442,456;109,692;501,131;491,876;9,255;1139,774;1117,399;22,375;7193,052;7051,730;141,322;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;3;2;A;625;597;28;0,072;27,765;28,014;21,712;33,214;33,214;11,717;11,754;10,936;12,571;12,571;37,840;36,812;1,028;38,516;202,346;197,217;5,129;205,720;0,324;0,330;0,183;6535,353;6370,733;164,620;608,505;596,248;12,257;1306,696;1274,007;32,689;8450,553;8240,988;209,565;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;3;3;A;597;597;0;0,072;29,542;29,542;0,000;35,236;35,236;12,400;12,400;0,000;13,400;13,400;40,935;40,935;0,000;42,640;230,228;230,228;0,000;238,731;0,386;0,386;0,000;7373,783;7373,783;0,000;705,700;705,700;0,000;1441,653;1441,653;0,000;9521,136;9521,136;0,000;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;4;1;D;667;450;217;0,060;24,691;26,208;21,196;30,086;30,086;9,979;10,157;9,610;10,643;10,643;31,920;24,276;7,645;31,920;148,607;114,176;34,431;148,607;0,223;0,254;0,159;4118,266;3168,589;949,677;380,169;302,048;78,120;887,916;684,495;203,421;5386,350;4155,132;1231,218;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;4;2;D;450;450;0;0,060;29,146;29,146;0,000;33,157;33,157;11,133;11,133;0,000;11,714;11,714;30,023;30,023;0,000;37,668;153,694;153,694;0,000;188,126;0,342;0,342;0,000;4207,167;4207,167;0,000;420,206;420,206;0,000;875,152;875,152;0,000;5502,525;5502,525;0,000;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;4;3;D;450;450;0;0,060;31,108;31,108;0,000;35,407;35,407;11,722;11,722;0,000;12,186;12,186;34,201;34,201;0,000;41,846;182,656;182,656;0,000;217,087;0,406;0,406;0,000;4972,479;4972,479;0,000;515,824;515,824;0,000;1018,023;1018,023;0,000;6506,327;6506,327;0,000;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;5;1;E;574;311;262;0,061;26,115;28,182;23,425;31,486;31,486;10,262;10,459;10,028;11,071;11,071;30,734;19,429;11,305;30,734;147,108;94,165;52,943;147,108;0,256;0,303;0,202;4135,746;2653,143;1482,603;396,470;266,040;130,430;884,733;569,625;315,108;5416,949;3488,808;1928,141;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;5;2;E;311;311;0;0,061;30,439;30,439;0,000;33,929;33,929;11,237;11,237;0,000;11,857;11,857;22,665;22,665;0,000;33,970;117,144;117,144;0,000;170,087;0,377;0,377;0,000;3265,173;3265,173;0,000;338,634;338,634;0,000;680,978;680,978;0,000;4284,786;4284,786;0,000;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;5;3;E;311;311;0;0,061;32,636;32,636;0,000;36,479;36,479;11,863;11,863;0,000;12,386;12,386;26,055;26,055;0,000;37,360;141,144;141,144;0,000;194,087;0,454;0,454;0,000;3909,460;3909,460;0,000;421,605;421,605;0,000;800,537;800,537;0,000;5131,602;5131,602;0,000;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;6;1;A;533;533;0;0,060;28,256;28,256;0,000;34,188;34,188;11,556;11,556;0,000;11,963;11,963;33,442;33,442;0,000;33,442;176,361;176,361;0,000;176,361;0,331;0,331;0,000;4781,382;4781,382;0,000;467,412;467,412;0,000;972,309;972,309;0,000;6221,103;6221,103;0,000;NA;NA;NA;NA;NA;NA;NA
Sanpablo;Pinus pinaster;6;2;A;533;533;0;0,060;30,356;30,356;0,000;37,000;37,000;12,275;12,275;0,000;12,871;12,871;38,599;38,599;0,000;38,599;215,331;215,331;0,000;215,331;0,404;0,404;0,000;5786,537;5786,537;0,000;584,915;584,915;0,000;1148,073;1148,073;0,000;7519,525;7519,525;0,000;NA;NA;NA;NA;NA;NA;NA
