sitio;inventario;arboles;variable;anova_p;tukey_variable;tukey_p;bartlett_p
Sanpablo_incrementos;1-2;Pinus pinaster;Dgi;0,16284337769886828;D-A;0,20112012255194589;0,51108553103268273
Sanpablo_incrementos;1-2;Pinus pinaster;Dgi;0,16284337769886828;E-A;0,21901151494495452;0,51108553103268273
Sanpablo_incrementos;1-2;Pinus pinaster;Dgi;0,16284337769886828;E-D;0,99746146937918767;0,51108553103268273
Sanpablo_incrementos;1-2;Pinus pinaster;Hi;0,29519223809593248;D-A;0,28344944713801701;0,47828505613973182
Sanpablo_incrementos;1-2;Pinus pinaster;Hi;0,29519223809593248;E-A;0,50291719201764762;0,47828505613973182
Sanpablo_incrementos;1-2;Pinus pinaster;Hi;0,29519223809593248;E-D;0,87183579818895252;0,47828505613973182
Sanpablo_incrementos;1-2;Pinus pinaster;ABi;0,07921933511456776;D-A;0,78886087981864694;0,17051888053597386
Sanpablo_incrementos;1-2;Pinus pinaster;ABi;0,07921933511456776;E-A;0,07820324541479451;0,17051888053597386
Sanpablo_incrementos;1-2;Pinus pinaster;ABi;0,07921933511456776;E-D;0,18332509323705282;0,17051888053597386
Sanpablo_incrementos;1-2;Pinus pinaster;Vi;0,18430590108553679;D-A;0,99999300299317473;0,45427139021535107
Sanpablo_incrementos;1-2;Pinus pinaster;Vi;0,18430590108553679;E-A;0,23354165822902795;0,45427139021535107
Sanpablo_incrementos;1-2;Pinus pinaster;Vi;0,18430590108553679;E-D;0,23457817691077620;0,45427139021535107
Sanpablo_incrementos;1-2;Pinus pinaster;Wi;0,14276071052626632;D-A;0,84006565569881841;0,99406881651412327
Sanpablo_incrementos;1-2;Pinus pinaster;Wi;0,14276071052626632;E-A;0,14016498774591379;0,99406881651412327
Sanpablo_incrementos;1-2;Pinus pinaster;Wi;0,14276071052626632;E-D;0,28669373410928234;0,99406881651412327
Sanpablo_incrementos;1-2;Quercus pirenaica;Dgi;0,62793066159344402;D-A;0,87839167160698606;0,53344940774436400
Sanpablo_incrementos;1-2;Quercus pirenaica;Dgi;0,62793066159344402;E-A;0,86803613960372683;0,53344940774436400
Sanpablo_incrementos;1-2;Quercus pirenaica;Dgi;0,62793066159344402;E-D;0,60165493759787303;0,53344940774436400
Sanpablo_incrementos;1-2;Quercus pirenaica;Hi;0,02822852087420529;D-A;0,61053208081137655;0,11033184508270358
Sanpablo_incrementos;1-2;Quercus pirenaica;Hi;0,02822852087420529;E-A;0,02692053040865117;0,11033184508270358
Sanpablo_incrementos;1-2;Quercus pirenaica;Hi;0,02822852087420529;E-D;0,09031468366351003;0,11033184508270358
Sanpablo_incrementos;1-2;Quercus pirenaica;ABi;0,92623898497461887;D-A;0,92297902140175081;0,69164515611261379
Sanpablo_incrementos;1-2;Quercus pirenaica;ABi;0,92623898497461887;E-A;0,96126966572106498;0,69164515611261379
Sanpablo_incrementos;1-2;Quercus pirenaica;ABi;0,92623898497461887;E-D;0,99270148894190202;0,69164515611261379
Sanpablo_incrementos;1-2;Quercus pirenaica;Vi;0,56377374569487559;D-A;0,63111013475383460;0,44807401907475880
Sanpablo_incrementos;1-2;Quercus pirenaica;Vi;0,56377374569487559;E-A;0,60674270029563326;0,44807401907475880
Sanpablo_incrementos;1-2;Quercus pirenaica;Vi;0,56377374569487559;E-D;0,99896865501400534;0,44807401907475880
Sanpablo_incrementos;1-2;Quercus pirenaica;Wi;0,35043392319369310;D-A;0,44442725240797987;0,18398034261344301
Sanpablo_incrementos;1-2;Quercus pirenaica;Wi;0,35043392319369310;E-A;0,38397293412442535;0,18398034261344301
Sanpablo_incrementos;1-2;Quercus pirenaica;Wi;0,35043392319369310;E-D;0,99058727604474717;0,18398034261344301
Sanpablo_incrementos;1-2;P. pinaster + Q. pirenaica;ABi;0,12005185829607123;D-A;0,77213765436477932;0,18471425123599575
Sanpablo_incrementos;1-2;P. pinaster + Q. pirenaica;ABi;0,12005185829607123;E-A;0,11409583559629188;0,18471425123599575
Sanpablo_incrementos;1-2;P. pinaster + Q. pirenaica;ABi;0,12005185829607123;E-D;0,27589296732926838;0,18471425123599575
Sanpablo_incrementos;1-2;P. pinaster + Q. pirenaica;Vi;0,20053168367248961;D-A;0,88510703949206848;0,51046106340517206
Sanpablo_incrementos;1-2;P. pinaster + Q. pirenaica;Vi;0,20053168367248961;E-A;0,19910025849617907;0,51046106340517206
Sanpablo_incrementos;1-2;P. pinaster + Q. pirenaica;Vi;0,20053168367248961;E-D;0,35558624784090120;0,51046106340517206
Sanpablo_incrementos;1-2;P. pinaster + Q. pirenaica;Wi;0,13756646885104462;D-A;0,62275360814782743;0,84875131857335895
Sanpablo_incrementos;1-2;P. pinaster + Q. pirenaica;Wi;0,13756646885104462;E-A;0,12228709483999523;0,84875131857335895
Sanpablo_incrementos;1-2;P. pinaster + Q. pirenaica;Wi;0,13756646885104462;E-D;0,40190674097925105;0,84875131857335895
Sanpablo_incrementos;2-3;Pinus pinaster;Dgi;0,01436521589382340;D-A;0,19505035798066328;0,36251732982724083
Sanpablo_incrementos;2-3;Pinus pinaster;Dgi;0,01436521589382340;E-A;0,01182805835583578;0,36251732982724083
Sanpablo_incrementos;2-3;Pinus pinaster;Dgi;0,01436521589382340;E-D;0,12737204257103563;0,36251732982724083
Sanpablo_incrementos;2-3;Pinus pinaster;Hi;0,17457628898581912;D-A;0,34446503673769591;0,58897536480004942
