Sitio;Especie;PARCELA;INVENTARIO;TRATAMIENTO;Superficie;Nac;Ndc;Ne;Nn;Dgac;Dgdc;Dge;Doac;Dodc;Hgac;Hgdc;Hge;Hoac;Hodc;ABac;ABdc;ABe;ABT;Vac;Vdc;Ve;VT;Vmac;Vmdc;Vme;Wac_s_7;Wdc_s_7;We_s_7;Wac_b2_7;Wdc_b2_7;We_b2_7;Wac_b2_n;Wdc_b2_n;We_b2_n;WacT;WdcT;WeT
Lubia;Quercus pirenaica;1;1;D;0,079;1975;1911;63;0;6,600;6,656;4,614;12,075;12,075;6,497;6,643;4,169;8,688;8,688;6,756;6,650;6,756;6,756;71,061;70,234;0,827;71,061;0,036;0,037;0,013;1214,207;1199,757;14,450;529,399;518,015;11,383;476,394;466,003;10,391;2220,000;2183,775;36,224
Lubia;Quercus pirenaica;1;2;D;0,079;1911;1987;114;190;6,461;6,533;5,045;12,500;12,500;7,079;7,189;4,278;9,300;9,300;6,890;6,662;6,890;13,646;75,051;73,136;1,915;75,878;0,039;0,037;0,017;1325,792;1293,370;32,422;570,040;548,676;21,364;471,864;451,101;20,763;2367,696;2293,147;74,549
Lubia;Quercus pirenaica;1;3;D;0,079;1987;1911;114;38;6,806;6,982;2,354;12,943;12,943;7,475;7,475;0,977;9,671;9,671;7,367;7,318;7,367;21,013;83,191;82,980;0,211;85,933;0,042;0,043;0,002;1482,953;1479,864;3,090;598,581;594,529;4,052;480,946;467,168;13,779;2562,480;2541,560;20,920
Lubia;Quercus pirenaica;2;1;E;0,085;1847;1800;47;0;5,383;5,419;3,794;9,271;9,271;4,600;4,600;2,995;6,340;6,340;4,204;4,151;4,204;4,204;34,734;34,410;0,323;34,734;0,019;0,019;0,007;568,441;563,301;5,140;328,965;322,981;5,985;437,796;429,927;7,869;1335,202;1316,209;18,993
Lubia;Quercus pirenaica;2;2;E;0,085;1800;1612;224;35;5,638;5,876;3,466;9,714;9,714;5,159;5,159;2,572;7,133;7,133;4,581;4,371;4,581;8,786;39,999;38,800;1,199;40,322;0,022;0,024;0,005;675,571;656,554;19,017;358,811;334,634;24,176;447,950;412,940;35,010;1482,331;1404,128;78,203
Lubia;Quercus pirenaica;2;3;E;0,085;1612;1565;106;59;6,065;6,123;5,124;10,100;10,100;5,376;5,376;3,459;7,433;7,433;4,826;4,608;4,826;13,612;44,485;42,743;1,742;46,007;0,028;0,027;0,016;751,874;722,434;29,441;337,824;321,215;16,609;448,822;424,419;24,403;1538,520;1468,068;70,452
Lubia;Quercus pirenaica;3;1;A;0,080;1812;1812;0;0;5,233;5,233;0,000;9,786;9,786;4,473;4,473;0,000;6,071;6,071;3,898;3,898;3,898;3,898;32,024;32,024;0,000;32,024;0,018;0,018;0,000;481,241;481,241;0,000;291,500;291,500;0,000;382,618;382,618;0,000;1155,358;1155,358;0,000
Lubia;Quercus pirenaica;3;2;A;0,080;1812;1850;162;200;5,116;5,232;3,536;10,157;10,157;5,113;5,113;3,472;7,083;7,083;4,138;3,978;4,138;8,035;35,893;34,877;1,016;35,893;0,020;0,019;0,006;578,098;561,181;16,917;368,529;345,074;23,455;371,727;352,481;19,245;1318,354;1258,736;59,618
Lubia;Quercus pirenaica;3;3;A;0,080;1875;1700;212;38;5,542;5,651;4,580;10,167;10,167;5,373;5,454;3,633;7,362;7,362;4,614;4,264;4,614;12,649;41,609;38,863;2,745;42,624;0,022;0,023;0,013;670,790;626,494;44,296;358,720;325,751;32,969;410,406;373,686;36,720;1439,916;1325,932;113,985
Lubia;Quercus pirenaica;4;1;E;0,076;2632;2566;66;0;5,027;5,070;2,938;10,414;10,414;5,240;5,321;3,139;6,700;6,700;5,224;5,179;5,224;5,224;44,756;44,514;0,242;44,756;0,017;0,017;0,004;694,597;690,726;3,870;474,373;466,285;8,089;445,667;439,810;5,857;1614,637;1596,821;17,816
