Sitio;Especie;PARCELA;INVENTARIO;TRATAMIENTO;Superficie;Nac;Ndc;Ne;Nn;Dgac;Dgdc;Dge;Doac;Dodc;Hgac;Hgdc;Hge;Hoac;Hodc;ABac;ABdc;ABe;ABT;Vac;Vdc;Ve;VT;Vmac;Vmdc;Vme;Wac_s_7;Wdc_s_7;We_s_7;Wac_b2_7;Wdc_b2_7;We_b2_7;Wac_b2_n;Wdc_b2_n;We_b2_n;WacT;WdcT;WeT
Sanpablo;Quercus pirenaica;1;1;E;0,072;1819;1736;83;0;6,808;6,864;5,516;10,200;10,200;5,710;5,710;5,137;7,400;7,400;6,623;6,424;6,623;6,623;64,607;62,965;1,642;64,607;0,036;0,036;0,020;985,257;959,714;25,544;446,064;429,024;17,040;446,588;430,851;15,737;1877,910;1819,588;58,321
Sanpablo;Quercus pirenaica;1;2;E;0,072;1736;1625;111;0;7,220;7,309;5,773;10,643;10,643;5,607;5,607;4,867;7,600;7,600;7,108;6,817;7,108;13,732;71,738;69,299;2,439;73,380;0,041;0,043;0,022;1078,197;1042,109;36,088;440,189;418,812;21,377;465,316;441,875;23,441;1983,702;1902,796;80,906
Sanpablo;Quercus pirenaica;1;3;E;0,072;1625;1514;111;0;7,657;7,717;6,787;11,257;11,257;5,633;5,660;5,090;7,750;7,750;7,483;7,081;7,483;21,215;77,928;74,061;3,867;82,010;0,048;0,049;0,035;1155,163;1098,378;56,784;427,377;403,428;23,948;475,471;446,805;28,666;2058,010;1948,612;109,398
Sanpablo;Quercus pirenaica;2;1;D;0,071;1465;1451;14;0;7,289;7,307;5,100;10,475;10,475;6,143;6,143;4,519;8,486;8,486;6,112;6,083;6,112;6,112;63,065;62,852;0,213;63,065;0,043;0,043;0,015;958,222;955,154;3,068;387,761;385,383;2,378;382,463;379,894;2,569;1728,446;1720,431;8,015
Sanpablo;Quercus pirenaica;2;2;D;0,071;1451;1282;183;14;7,582;7,813;5,717;11,262;11,262;6,395;6,395;4,517;8,914;8,914;6,614;6,144;6,614;12,726;71,082;66,909;4,174;71,295;0,049;0,052;0,023;1083,231;1021,189;62,041;408,065;374,848;33,217;398,663;361,395;37,268;1889,959;1757,432;132,527
Sanpablo;Quercus pirenaica;2;3;D;0,071;1282;1183;99;0;8,014;8,200;5,294;11,650;11,650;6,303;6,303;3,994;9,033;9,033;6,464;6,247;6,464;19,190;69,806;68,200;1,606;74,193;0,054;0,058;0,016;1028,279;1006,592;21,687;352,446;338,091;14,355;390,985;370,514;20,471;1771,710;1715,197;56,513
Sanpablo;Quercus pirenaica;3;1;A;0,072;2472;2472;0;0;6,953;6,953;0,000;10,012;10,012;6,205;6,205;0,000;8,683;8,683;9,386;9,386;9,386;9,386;95,167;95,167;0,000;95,167;0,038;0,038;0,000;1503,581;1503,581;0,000;664,068;664,068;0,000;599,106;599,106;0,000;2766,755;2766,755;0,000
Sanpablo;Quercus pirenaica;3;2;A;0,072;2472;2278;236;42;7,219;7,404;5,101;10,671;10,671;6,571;6,658;4,572;9,080;9,080;10,291;9,808;10,291;19,677;109,842;106,013;3,829;109,842;0,044;0,047;0,016;1781,737;1722,652;59,086;743,715;701,375;42,340;616,207;574,736;41,471;3141,659;2998,763;142,896
Sanpablo;Quercus pirenaica;3;3;A;0,072;2278;1889;403;14;7,347;7,733;5,165;10,739;10,739;6,882;6,882;4,357;9,150;9,150;9,716;8,872;9,716;29,393;104,878;98,057;6,821;108,707;0,046;0,052;0,017;1699,836;1595,137;104,699;688,667;619,473;69,194;577,144;503,431;73,712;2965,647;2718,041;247,606
Sanpablo;Quercus pirenaica;4;1;D;0,060;1683;1667;17;0;6,454;6,447;7,200;9,086;9,086;5,196;5,196;5,485;6,157;6,157;5,508;5,440;5,508;5,508;48,816;48,190;0,626;48,816;0,029;0,029;0,037;577,131;569,710;7,421;277,132;274,010;3,122;350,513;346,488;4,025;1204,776;1190,208;14,568
Sanpablo;Quercus pirenaica;4;2;D;0,060;1667;1467;317;117;6,579;6,841;5,199;10,129;10,129;5,465;5,510;4,120;6,943;6,943;6,063;5,391;6,063;11,571;56,227;51,179;5,048;56,853;0,034;0,035;0,016;671,413;612,512;58,902;293,409;252,660;40,748;376,314;323,953;52,362;1341,136;1189,125;152,012
Sanpablo;Quercus pirenaica;4;3;D;0,060;1467;1033;450;17;6,857;7,381;5,465;10,336;10,336;5,530;5,577;3,400;6,543;6,543;5,478;4,422;5,478;17,048;51,827;43,302;8,525;57,501;0,035;0,042;0,019;608,610;510,701;97,909;237,221;188,799;48,422;337,673;254,739;82,934;1183,505;954,240;229,265
Sanpablo;Quercus pirenaica;5;1;E;0,061;1262;1262;0;0;5,591;5,591;0,000;7,700;7,700;4,310;4,310;0,000;5,143;5,143;3,099;3,099;3,099;3,099;24,205;24,205;0,000;24,205;0,019;0,019;0,000;276,984;276,984;0,000;162,665;162,665;0,000;236,213;236,213;0,000;675,863;675,863;0,000
Sanpablo;Quercus pirenaica;5;2;E;0,061;1262;1262;82;82;5,736;5,830;4,007;8,429;8,429;4,440;4,534;2,304;6,050;6,050;3,473;3,370;3,473;6,572;28,533;28,012;0,520;28,533;0,023;0,022;0,006;333,559;328,054;5,505;170,932;165,710;5,222;260,324;247,670;12,654;764,816;741,434;23,382
Sanpablo;Quercus pirenaica;5;3;E;0,061;1262;1098;164;0;5,817;6,070;3,705;8,429;8,429;4,360;4,373;2,624;6,120;6,120;3,355;3,178;3,355;9,927;27,646;26,564;1,083;28,167;0,022;0,024;0,007;319,159;306,843;12,316;164,699;151,664;13,035;245,126;225,688;19,438;728,984;684,195;44,789
Sanpablo;Quercus pirenaica;6;1;A;0,060;1500;1500;0;0;7,432;7,432;0,000;11,143;11,143;5,608;5,608;0,000;6,980;6,980;6,507;6,507;6,507;6,507;66,040;66,040;0,000;66,040;0,044;0,044;0,000;787,266;787,266;0,000;296,520;296,520;0,000;355,788;355,788;0,000;1439,574;1439,574;0,000
Sanpablo;Quercus pirenaica;6;2;A;0,060;1500;1417;117;33;7,636;7,822;4,824;11,614;11,614;5,902;5,990;3,943;7,220;7,220;7,021;6,808;7,021;13,528;74,014;72,369;1,646;74,014;0,049;0,051;0,014;897,483;877,405;20,077;323,793;309,095;14,698;367,593;351,050;16,542;1588,868;1537,550;51,318
Sanpablo;Quercus pirenaica;6;3;A;0,060;1417;1217;200;0;7,866;8,200;5,402;11,993;11,993;6,767;6,767;4,884;7,920;7,920;6,884;6,425;6,884;20,412;75,462;71,468;3,994;77,107;0,053;0,059;0,020;941,034;889,462;51,571;338,050;305,110;32,940;337,054;308,088;28,966;1616,138;1502,660;113,478
Sanpablo;Quercus pirenaica;7;1;D;0,056;2089;2089;0;0;5,675;5,675;0,000;8,925;8,925;4,855;4,855;0,000;6,500;6,500;5,285;5,285;5,285;5,285;45,023;45,023;0,000;45,023;0,022;0,022;0,000;501,331;501,331;0,000;272,669;272,669;0,000;344,979;344,979;0,000;1118,979;1118,979;0,000
Sanpablo;Quercus pirenaica;7;2;D;0,056;2089;1982;232;125;5,949;6,076;4,730;9,633;9,633;5,161;5,200;3,660;7,111;7,111;6,155;5,747;6,155;11,440;55,930;53,041;2,889;55,930;0,027;0,027;0,012;629,977;598,721;31,256;301,381;277,001;24,380;380,511;347,981;32,530;1311,869;1223,704;88,165
Sanpablo;Quercus pirenaica;7;3;D;0,056;1982;1679;304;0;6,192;6,528;3,841;10,293;10,293;5,515;5,515;2,540;7,817;7,817;5,969;5,617;5,969;17,409;56,700;54,277;2,424;59,589;0,029;0,032;0,008;650,371;624,165;26,207;296,036;274,013;22,023;347,567;312,989;34,578;1293,974;1211,166;82,808
Sanpablo;Quercus pirenaica;8;1;A;0,059;2220;2220;0;0;6,845;6,845;0,000;10,300;10,300;5,577;5,577;0,000;7,283;7,283;8,171;8,171;8,171;8,171;77,478;77,478;0,000;77,478;0,035;0,035;0,000;921,362;921,362;0,000;404,621;404,621;0,000;471,231;471,231;0,000;1797,214;1797,214;0,000
Sanpablo;Quercus pirenaica;8;2;A;0,059;2220;1983;237;0;7,187;7,377;5,342;10,957;10,957;5,976;5,973;4,276;8,240;8,240;9,009;8,477;9,009;17,180;90,113;85,878;4,235;90,113;0,041;0,043;0,018;1099,707;1049,858;49,849;447,284;415,306;31,978;490,825;452,183;38,642;2037,817;1917,348;120,469
Sanpablo;Quercus pirenaica;8;3;A;0,059;1983;1288;695;0;7,312;7,731;6,462;11,243;11,243;5,995;6,473;5,037;8,240;8,240;8,326;6,047;8,326;25,506;84,597;63,393;21,204;88,832;0,043;0,049;0,031;1040,253;784,357;255,896;414,914;295,988;118,926;444,367;306,512;137,855;1899,534;1386,857;512,677
Sanpablo;Quercus pirenaica;9;1;E;0,061;1705;1656;49;0;6,858;6,880;6,095;10,857;10,857;5,825;5,884;4,504;7,467;7,467;6,298;6,155;6,298;6,298;62,131;60,957;1,174;62,131;0,036;0,037;0,024;783,571;770,086;13,485;338,663;331,539;7,124;362,557;352,405;10,152;1484,791;1454,030;30,761
Sanpablo;Quercus pirenaica;9;2;E;0,061;1656;1623;82;49;7,328;7,431;4,855;11,886;11,886;6,074;6,074;3,800;7,883;7,883;7,191;7,039;7,191;13,489;74,661;73,573;1,088;75,835;0,045;0,045;0,013;935,518;922,652;12,866;356,098;346,326;9,772;397,375;384,458;12,917;1688,992;1653,437;35,555
Sanpablo;Quercus pirenaica;9;3;E;0,061;1623;1393;230;0;7,529;7,747;6,041;12,019;12,019;6,050;6,221;4,507;8,000;8,000;7,226;6,568;7,226;20,715;76,355;70,319;6,036;78,617;0,047;0,050;0,026;950,653;876,488;74,165;346,222;310,402;35,821;392,405;348,911;43,494;1689,280;1535,800;153,480
